Town,Time-of-Day,Weather,PositionID
01,night,clear,14825380774802470444
01,sunset,hardrain,9201849038803992746
01,sunset,hardrain,1345118080928125002
01,sunset,wet,14850275239128088786
01,sunset,wetcloudy,10232611541148835053
01,sunset,hardrain,9589232575557334978
01,noon,wet,10902361392043855007
01,sunset,cloudy,13608013725036013815
01,night,cloudy,11491811769454278497
01,noon,cloudy,8492512246853163784
01,sunset,clear,15087967132952848319
01,noon,cloudy,12472647813230709254
01,noon,clear,2960168213683005369
01,sunset,wet,13720135162873564853
01,night,cloudy,10898609262513470820
01,noon,clear,10876275477470646227
01,night,cloudy,7239187817630173848
01,noon,clear,5564721985319392677
01,night,wet,17504537743409511324
01,night,clear,239444069348429977
01,noon,clear,8987067447567923764
01,sunset,wetcloudy,2968980400238637486
01,sunset,clear,15980785302332279237
01,night,wetcloudy,2633547105596024254
01,night,cloudy,4175035229771714843
01,night,hardfog,14757777297413426126
01,noon,clear,535855662743757187
01,noon,clear,16252589383878600951
01,noon,cloudy,15950284535569778008
01,night,clear,13621959970709909342
01,night,wetcloudy,8715560543181603798
01,night,softrain,15526701910247768107
01,noon,clear,379250309767754736
01,sunset,softrain,16724376384512451872
01,night,clear,7517336670163526088
01,noon,midrain,3137102342619030232
01,noon,clear,2291975335462135444
01,night,clear,10883479244289315418
01,night,wet,11912371044615727883
01,noon,clear,14296108743045874521
01,night,midfog,2492460097910803961
01,noon,cloudy,709949153784984564
01,night,cloudy,15925850927509014928
01,sunset,clear,15088857921344178433
01,noon,clear,2205035809531478119
01,noon,wetcloudy,9875498775544740619
01,noon,clear,11601016323605302825
01,noon,clear,15363426038881766544
01,night,wet,1266037470465754544
01,night,cloudy,5486109403816791601
01,noon,wetcloudy,14521676328672112708
01,noon,cloudy,5715076665762741159
01,sunset,wet,2897949575718248517
01,noon,wet,5793164302500360230
01,night,clear,16238796828315910066
01,noon,wet,15440564395017416067
01,night,wetcloudy,187477760397151862
01,noon,clear,8893771791401302286
01,sunset,midfog,12311701534373888935
01,noon,hardrain,16752110870559270882
01,noon,wet,14786976019931344465
01,night,clear,4276493734671076760
01,noon,wetcloudy,15092490287696353336
01,noon,hardrain,429484361855324120
01,noon,clear,6136462353155929989
01,noon,wetcloudy,11748413810523688812
01,night,clear,5731439087858500393
01,night,cloudy,1695311702388449937
01,noon,clear,14742787937345014123
01,noon,clear,16821777936883561621
01,noon,hardrain,10774821770926920817
01,noon,wetcloudy,16889258620081149438
01,sunset,clear,18004640765530103875
01,sunset,softrain,11018694503430746719
01,night,clear,4736039481145445227
01,night,cloudy,16089323831011781563
01,sunset,wet,10386245347368690260
01,night,clear,2897078717447027311
01,sunset,cloudy,11250121037350350647
01,sunset,wetcloudy,14410725630662868660
01,night,clear,2575460536910331862
01,sunset,cloudy,15337731170345223477
01,noon,wetcloudy,18317701502096067180
01,sunset,clear,7862925600628301842
01,night,cloudy,17576695708969042504
01,night,clear,14490273110620146560
01,sunset,wet,10512305059033564263
01,noon,clear,10729231579507445920
01,night,midfog,15931582288372764501
01,sunset,clear,1377937839020966572
01,noon,clear,8799008107499048334
01,noon,cloudy,722247523114781537
01,sunset,clear,1145103074533026280
01,noon,midfog,10365540815114811143
01,sunset,wetcloudy,12045757337253089677
01,sunset,wet,4898371177527638678
01,night,midfog,6819672989773318457
01,noon,hardrain,10898999957658746645
01,noon,hardrain,8882956716197093888
01,night,hardrain,5997135943324094516
01,noon,clear,15507232440386748326
01,noon,clear,14178150375679457896
01,noon,clear,13903978480960837919
01,noon,softrain,16973586868486930883
01,noon,hardfog,7093870563125889962
01,noon,midfog,5240884502857591837
01,night,clear,18239386299590631488
01,noon,midrain,10675291204601173265
01,night,cloudy,6559512046451574877
01,noon,wet,9787062841775985670
01,noon,clear,4207739728264970936
01,noon,wetcloudy,3247105551662957294
