Town,Time-of-Day,Weather,PositionID
01,night,hardfog,14825380774802470444
01,sunset,hardfog,9201849038803992746
01,sunset,midfog,1345118080928125002
01,sunset,hardfog,14850275239128088786
01,sunset,midfog,10232611541148835053
01,sunset,midfog,9589232575557334978
01,noon,midfog,10902361392043855007
01,sunset,hardfog,13608013725036013815
01,night,midfog,11491811769454278497
01,noon,midfog,8492512246853163784
01,sunset,hardfog,15087967132952848319
01,noon,hardfog,12472647813230709254
01,noon,midfog,2960168213683005369
01,sunset,hardfog,13720135162873564853
01,night,hardfog,10898609262513470820
01,noon,hardfog,10876275477470646227
01,night,midfog,7239187817630173848
01,noon,midfog,5564721985319392677
01,night,midfog,17504537743409511324
01,night,midfog,239444069348429977
01,noon,midfog,8987067447567923764
01,sunset,hardfog,2968980400238637486
01,sunset,midfog,15980785302332279237
01,night,midfog,2633547105596024254
01,night,hardfog,4175035229771714843
01,night,midfog,14757777297413426126
01,noon,hardfog,535855662743757187
01,noon,midfog,16252589383878600951
01,noon,midfog,15950284535569778008
01,night,midfog,13621959970709909342
01,night,midfog,8715560543181603798
01,night,hardfog,15526701910247768107
01,noon,hardfog,379250309767754736
01,sunset,hardfog,16724376384512451872
01,night,hardfog,7517336670163526088
01,noon,midfog,3137102342619030232
01,noon,midfog,2291975335462135444
01,night,midfog,10883479244289315418
01,night,hardfog,11912371044615727883
01,noon,hardfog,14296108743045874521
01,night,midfog,2492460097910803961
01,noon,midfog,709949153784984564
01,night,midfog,15925850927509014928
01,sunset,midfog,15088857921344178433
01,noon,midfog,2205035809531478119
01,noon,hardfog,9875498775544740619
01,noon,midfog,11601016323605302825
01,noon,hardfog,15363426038881766544
01,night,midfog,1266037470465754544
01,night,hardfog,5486109403816791601
01,noon,midfog,14521676328672112708
01,noon,midfog,5715076665762741159
01,sunset,hardfog,2897949575718248517
01,noon,hardfog,5793164302500360230
01,night,midfog,16238796828315910066
01,noon,midfog,15440564395017416067
01,night,hardfog,187477760397151862
01,noon,hardfog,8893771791401302286
01,sunset,hardfog,12311701534373888935
01,noon,midfog,16752110870559270882
01,noon,midfog,14786976019931344465
01,night,midfog,4276493734671076760
01,noon,midfog,15092490287696353336
01,noon,hardfog,429484361855324120
01,noon,hardfog,6136462353155929989
01,noon,midfog,11748413810523688812
01,night,midfog,5731439087858500393
01,night,hardfog,1695311702388449937
01,noon,midfog,14742787937345014123
01,noon,hardfog,16821777936883561621
01,noon,hardfog,10774821770926920817
01,noon,midfog,16889258620081149438
01,sunset,hardfog,18004640765530103875
01,sunset,hardfog,11018694503430746719
01,night,hardfog,4736039481145445227
01,night,midfog,16089323831011781563
01,sunset,hardfog,10386245347368690260
01,night,hardfog,2897078717447027311
01,sunset,midfog,11250121037350350647
01,sunset,hardfog,14410725630662868660
01,night,midfog,2575460536910331862
01,sunset,midfog,15337731170345223477
01,noon,hardfog,18317701502096067180
01,sunset,midfog,7862925600628301842
01,night,midfog,17576695708969042504
01,night,midfog,14490273110620146560
01,sunset,hardfog,10512305059033564263
01,noon,hardfog,10729231579507445920
01,night,midfog,15931582288372764501
01,sunset,midfog,1377937839020966572
01,noon,midfog,8799008107499048334
01,noon,hardfog,722247523114781537
01,sunset,hardfog,1145103074533026280
01,noon,midfog,10365540815114811143
01,sunset,midfog,12045757337253089677
01,sunset,hardfog,4898371177527638678
01,night,hardfog,6819672989773318457
01,noon,hardfog,10898999957658746645
01,noon,hardfog,8882956716197093888
01,night,hardfog,5997135943324094516
01,noon,midfog,15507232440386748326
01,noon,midfog,14178150375679457896
01,noon,hardfog,13903978480960837919
01,noon,hardfog,16973586868486930883
01,noon,hardfog,7093870563125889962
01,noon,hardfog,5240884502857591837
01,night,hardfog,18239386299590631488
01,noon,hardfog,10675291204601173265
01,night,midfog,6559512046451574877
01,noon,midfog,9787062841775985670
01,noon,hardfog,4207739728264970936
01,noon,hardfog,3247105551662957294
01,noon,midfog,7061703794314215475
01,night,midfog,10955807663163761862
01,night,midfog,3673844597999105197
01,sunset,midfog,4723614228087189233
01,noon,hardfog,3804063107618269556
01,sunset,hardfog,8556900350790299048
01,sunset,hardfog,16603429293826329909
01,noon,midfog,15737017147657379683
01,noon,hardfog,18119643969392699766
01,sunset,midfog,1172989987738435446
01,sunset,hardfog,202142433248572110
01,noon,hardfog,4610603447997980245
01,noon,hardfog,7101510022651404957
01,noon,hardfog,7470011436959381369
01,night,hardfog,11267372162784295635
01,night,hardfog,8716802561436865695
01,noon,hardfog,8255953355719133717
01,noon,hardfog,5754331971355890846
01,noon,midfog,5279172905348199801
01,noon,hardfog,5701068636739344537
01,noon,hardfog,10669631975407341693
01,noon,midfog,6986152914694173045
01,sunset,hardfog,8836324727686471880
01,night,hardfog,16861463795029254112
01,noon,hardfog,6504967680622419933
01,sunset,midfog,15248173978732702319
01,noon,hardfog,6200889928768103728
01,night,midfog,5562784017816525001
01,noon,midfog,12593277633171009555
01,noon,midfog,5503647245558315927
01,noon,hardfog,3329685640391312791
01,noon,hardfog,4003112047303369508
01,noon,hardfog,4749652075401252643
01,noon,midfog,8139235189075786986
01,noon,midfog,8563802671372758169
01,noon,midfog,6807443720907276951
01,sunset,hardfog,9035482576303554924
01,noon,midfog,7295678661647546503
01,noon,midfog,10136782375646021358
01,noon,midfog,4637931782894985058
01,sunset,hardfog,15235473385933693125
01,sunset,hardfog,13132950250727689882
01,night,midfog,11090661489459070760
01,night,midfog,13479803117170749576
01,noon,midfog,5538235467216956513
01,noon,midfog,6779971893468707532
01,night,midfog,16411610575909398917
01,sunset,midfog,17695523596179661094
01,noon,midfog,16250660480353447277
01,noon,hardfog,7675454486227978413
01,noon,midfog,18406000789129321954
01,sunset,hardfog,7306837279532212743
01,noon,midfog,8016952159401334421
01,sunset,midfog,16466254339578261124
01,noon,midfog,5483149808109117311
01,night,hardfog,3385906564125515961
01,noon,midfog,9555217791998926160
01,night,midfog,14894421095992302407
01,noon,hardfog,2629961523510558795
01,noon,hardfog,4511986877679289866
01,noon,hardfog,1783917349010647336
01,night,hardfog,18098519572598937034
01,night,midfog,191158237813338222
01,sunset,midfog,707934886555566444
01,sunset,hardfog,2073440367592781702
01,night,hardfog,17924014941919889281
01,night,midfog,9028238832455225586
01,sunset,midfog,3248915232482796439
01,noon,midfog,5523597138168212009
01,night,hardfog,8083466787007542143
01,night,midfog,6805588181717834257
01,noon,midfog,15711164901396784461
01,night,midfog,13341946117826339075
01,sunset,hardfog,16382846637810104298
01,noon,midfog,4260769553354504395
01,night,hardfog,17840306046362556133
01,sunset,midfog,4819979076733967810
01,noon,midfog,6297139801486472560
01,noon,hardfog,18115983576931462476
01,sunset,hardfog,18118767810202917752
01,sunset,midfog,12072085154548783739
01,sunset,hardfog,7634070066134911885
01,noon,midfog,4215703099121656144
01,noon,midfog,15217730926035441336
01,noon,hardfog,864184349834659284
01,noon,midfog,18103941317446758170
01,noon,hardfog,2199892475871361345
01,noon,midfog,6091300060655000809
01,night,hardfog,916622403075124287
01,sunset,hardfog,3046196804242914721
01,noon,midfog,11361212185395772560
01,noon,hardfog,11584873987726266057
01,night,hardfog,14782590726199083077
01,night,midfog,4947668457386113263
01,noon,midfog,14242659521563319741
01,sunset,hardfog,1297813528892412488
01,night,midfog,16541575548964272442
01,night,hardfog,5302136769426265287
01,sunset,hardfog,14322568257256669352
01,night,hardfog,16999317817805332380
01,night,midfog,13791722882432842793
01,noon,hardfog,10152123872702079045
01,noon,hardfog,9687581735485515021
01,noon,midfog,4046268515483553745
01,noon,hardfog,8671459120911097682
01,noon,midfog,14792783182788649985
01,noon,hardfog,17822268477618464841
01,noon,hardfog,1096735697326768254
01,noon,midfog,11476970080533871356
01,noon,hardfog,14737741334943375723
01,noon,midfog,11604729881384495819
01,noon,midfog,5157669318182614668
01,sunset,hardfog,15066009756732712924
01,noon,hardfog,13094934358636249942
01,night,midfog,6604568536182193309
01,night,hardfog,3647075600124973955
01,sunset,hardfog,17440122598078900403
01,night,midfog,13791262299920713152
01,noon,midfog,5495820952516733507
01,noon,hardfog,8015810996555631004
01,night,hardfog,18364919175813034319
01,noon,hardfog,14343623742929328607
01,night,hardfog,17527497973451153015
01,noon,hardfog,16261630305555487905
01,night,midfog,10561936761953369089
01,noon,midfog,2863079965495843833
01,night,midfog,1292591893557518354
01,noon,midfog,725074646618115305
01,noon,hardfog,15631631028913414960
01,noon,midfog,3477934630952602587
01,noon,midfog,5182704403000215303
01,night,hardfog,2556818242327454069
01,night,hardfog,4025401573525323975
01,noon,midfog,3179786631884507444
01,sunset,hardfog,12260391760710083413
01,noon,hardfog,6315200393284773016
01,sunset,hardfog,10300923614107124051
01,noon,hardfog,13834394001874562148
01,sunset,hardfog,1892508763071479080
01,noon,midfog,3342230116788962101
01,noon,hardfog,13972470036980663692
01,noon,midfog,11984949987605126020
01,noon,midfog,8476318488490376833
01,sunset,midfog,4486387908718847034
01,noon,hardfog,13293623779468310037
01,sunset,midfog,12752436617745728456
01,noon,hardfog,13964836127633987913
01,noon,midfog,1997525924286233045
01,noon,hardfog,15014841883627851007
01,noon,midfog,15290839709136011550
01,noon,midfog,5265595207251113598
01,noon,hardfog,11840057538697973158
01,night,hardfog,14328595595159736282
01,noon,midfog,15299155636867730639
01,sunset,midfog,16658613523997115451
01,night,hardfog,5926527813934926301
01,night,hardfog,5834791534461719329
01,noon,hardfog,2687950889508463474
01,noon,midfog,12795452137294375794
01,noon,midfog,10936496118717659661
01,noon,hardfog,17442235981590339150
01,sunset,midfog,15854720316042540895
01,night,hardfog,7360364079106745252
01,noon,hardfog,7100855637922796922
01,night,hardfog,7820988378359790821
01,sunset,hardfog,8599139835089260992
01,night,hardfog,2373053945430896079
01,night,hardfog,17229056679276470936
01,noon,midfog,14557709989485171834
01,sunset,hardfog,6061894344117542073
01,sunset,midfog,1644638323469350830
01,sunset,midfog,1469662533176795354
01,sunset,midfog,15357316622328589837
01,noon,midfog,17383410946036194350
01,noon,midfog,18240233851138194818
01,night,midfog,4620062796467544512
01,night,midfog,8378433674015491553
01,sunset,hardfog,14074010500302408379
01,noon,hardfog,12656203945543330266
01,night,hardfog,16647414934797205985
01,noon,midfog,17654679141173956933
01,noon,midfog,12662867422285594138
01,noon,midfog,13824989915791433737
01,noon,midfog,2719099309329147604
01,noon,hardfog,4554935997949950411
01,sunset,midfog,11072929249775878503
01,sunset,midfog,2639845046291033063
01,noon,midfog,1790346111480949216
01,sunset,midfog,17801021328314544717
01,noon,midfog,881254434194574730
01,noon,midfog,4818748367394451479
01,night,hardfog,1757312531116730815
01,noon,hardfog,8730574356446785821
01,sunset,midfog,104590241066443371
01,noon,midfog,11092733515447523219
01,noon,midfog,1881966007674821837
01,noon,midfog,15111708196256365246
01,night,midfog,2031689262333930317
01,sunset,midfog,10959870770028765546
01,sunset,hardfog,4993585766346274276
01,sunset,midfog,12099353545371424225
01,noon,midfog,10982347457513793766
01,noon,midfog,841692999722833885
01,noon,hardfog,15177765828720632343
01,noon,hardfog,16078985844135863504
01,night,hardfog,13206225472757488164
01,noon,hardfog,10332215107720219120
01,noon,hardfog,15813849107454910633
01,sunset,midfog,4338713723421254729
01,sunset,hardfog,1032966792390372021
01,night,midfog,10925306461748054709
01,noon,hardfog,5747175216388044339
01,night,midfog,7360060466721022117
01,sunset,hardfog,17346293778150908569
01,night,hardfog,1313169839806609815
01,sunset,midfog,1759089560362870052
01,noon,hardfog,9873538483428447948
01,noon,midfog,1217581028964199741
01,night,midfog,3596498983027448907
01,noon,hardfog,14217378349207218623
01,sunset,midfog,13907007433801079298
01,noon,hardfog,13922861601905902310
01,noon,midfog,14998601120095322694
01,noon,hardfog,12295594444765006260
01,noon,hardfog,13018648431140357977
01,night,midfog,17593954636255879000
01,night,hardfog,8630378541465127791
01,noon,midfog,9046373343581454108
01,noon,midfog,12827854199852900269
01,noon,hardfog,13593606341491395382
01,noon,hardfog,2532630660878177172
01,noon,midfog,13322263002449503167
01,noon,midfog,15123595587135540527
01,noon,midfog,12166890338668731040
01,noon,hardfog,4664081221922796500
01,noon,hardfog,2365430537844932060
01,noon,hardfog,8514517081961479433
01,noon,hardfog,13550088103445809920
01,sunset,hardfog,8513263226230667680
01,noon,midfog,10613564818262808513
01,noon,hardfog,16688661025422985232
01,noon,hardfog,10915110250377709386
01,sunset,hardfog,8820750985206110900
01,sunset,hardfog,6396982249415102124
01,night,hardfog,3518109032907140903
01,night,hardfog,6765493738900515827
01,sunset,hardfog,14684016106157798129
01,noon,midfog,5373900377941403357
01,noon,hardfog,5944087261847576275
01,night,midfog,1881208278375752831
01,noon,hardfog,11297084334228656160
01,night,hardfog,11593693859353919103
01,noon,midfog,10790868598688719051
01,noon,midfog,18282138826809246415
01,noon,midfog,17665881966350068618
01,night,midfog,12722532689942334448
01,noon,midfog,10654065182653486756
01,sunset,hardfog,5051327199632412918
01,noon,hardfog,16138997973133068341
01,noon,midfog,1560045444181435576
01,sunset,hardfog,7137828935104806743
01,noon,midfog,8140318314085337745
01,night,hardfog,2442765144982940840
01,noon,hardfog,17455555993184700523
01,night,midfog,3973565820751900811
01,sunset,midfog,2894856966964249372
01,noon,midfog,908269947812567931
01,noon,midfog,12721841200839680285
01,noon,midfog,15534649800360916192
01,night,hardfog,7620158444325366397
01,noon,midfog,1620126622230786126
01,sunset,hardfog,1487511301066333654
01,noon,hardfog,13916432597517988909
01,night,hardfog,15085573940697862554
01,night,hardfog,9336976824096209251
