Town,Time-of-Day,Weather,PositionID
01,night,clear,14825380774802470444
01,sunset,wetcloudy,9201849038803992746
01,sunset,clear,1345118080928125002
01,sunset,wet,14850275239128088786
01,sunset,cloudy,10232611541148835053
01,sunset,wetcloudy,9589232575557334978
01,noon,wet,10902361392043855007
01,sunset,clear,13608013725036013815
01,night,wet,11491811769454278497
01,noon,cloudy,8492512246853163784
01,sunset,wet,15087967132952848319
01,noon,cloudy,12472647813230709254
01,noon,wetcloudy,2960168213683005369
01,sunset,wetcloudy,13720135162873564853
01,night,cloudy,10898609262513470820
01,noon,wet,10876275477470646227
01,night,cloudy,7239187817630173848
01,noon,cloudy,5564721985319392677
01,night,wet,17504537743409511324
01,night,wet,239444069348429977
01,noon,wetcloudy,8987067447567923764
01,sunset,wet,2968980400238637486
01,sunset,wet,15980785302332279237
01,night,wetcloudy,2633547105596024254
01,night,clear,4175035229771714843
01,night,cloudy,14757777297413426126
01,noon,wetcloudy,535855662743757187
01,noon,wet,16252589383878600951
01,noon,cloudy,15950284535569778008
01,night,wetcloudy,13621959970709909342
01,night,cloudy,8715560543181603798
01,night,wet,15526701910247768107
01,noon,cloudy,379250309767754736
01,sunset,wet,16724376384512451872
01,night,wet,7517336670163526088
01,noon,wet,3137102342619030232
01,noon,wet,2291975335462135444
01,night,wetcloudy,10883479244289315418
01,night,clear,11912371044615727883
01,noon,cloudy,14296108743045874521
01,night,cloudy,2492460097910803961
01,noon,cloudy,709949153784984564
01,night,wetcloudy,15925850927509014928
01,sunset,wetcloudy,15088857921344178433
01,noon,clear,2205035809531478119
01,noon,cloudy,9875498775544740619
01,noon,clear,11601016323605302825
01,noon,clear,15363426038881766544
01,night,cloudy,1266037470465754544
01,night,wet,5486109403816791601
01,noon,wet,14521676328672112708
01,noon,cloudy,5715076665762741159
01,sunset,wet,2897949575718248517
01,noon,clear,5793164302500360230
01,night,clear,16238796828315910066
01,noon,wet,15440564395017416067
01,night,wetcloudy,187477760397151862
01,noon,cloudy,8893771791401302286
01,sunset,cloudy,12311701534373888935
01,noon,wetcloudy,16752110870559270882
01,noon,cloudy,14786976019931344465
01,night,wet,4276493734671076760
01,noon,wet,15092490287696353336
01,noon,clear,429484361855324120
01,noon,wetcloudy,6136462353155929989
01,noon,cloudy,11748413810523688812
01,night,wet,5731439087858500393
01,night,cloudy,1695311702388449937
01,noon,clear,14742787937345014123
01,noon,cloudy,16821777936883561621
01,noon,cloudy,10774821770926920817
01,noon,clear,16889258620081149438
01,sunset,clear,18004640765530103875
01,sunset,cloudy,11018694503430746719
01,night,clear,4736039481145445227
01,night,wetcloudy,16089323831011781563
01,sunset,wet,10386245347368690260
01,night,wet,2897078717447027311
01,sunset,wet,11250121037350350647
01,sunset,clear,14410725630662868660
01,night,clear,2575460536910331862
01,sunset,cloudy,15337731170345223477
01,noon,wet,18317701502096067180
01,sunset,wetcloudy,7862925600628301842
01,night,wet,17576695708969042504
01,night,cloudy,14490273110620146560
01,sunset,wetcloudy,10512305059033564263
01,noon,cloudy,10729231579507445920
01,night,wetcloudy,15931582288372764501
01,sunset,clear,1377937839020966572
01,noon,cloudy,8799008107499048334
01,noon,wetcloudy,722247523114781537
01,sunset,wetcloudy,1145103074533026280
01,noon,wet,10365540815114811143
01,sunset,wet,12045757337253089677
01,sunset,clear,4898371177527638678
01,night,wetcloudy,6819672989773318457
01,noon,cloudy,10898999957658746645
01,noon,wetcloudy,8882956716197093888
01,night,wet,5997135943324094516
01,noon,wetcloudy,15507232440386748326
01,noon,cloudy,14178150375679457896
01,noon,clear,13903978480960837919
01,noon,wetcloudy,16973586868486930883
01,noon,wet,7093870563125889962
01,noon,cloudy,5240884502857591837
01,night,wetcloudy,18239386299590631488
01,noon,clear,10675291204601173265
01,night,clear,6559512046451574877
01,noon,wet,9787062841775985670
01,noon,clear,4207739728264970936
01,noon,cloudy,3247105551662957294
01,noon,cloudy,7061703794314215475
01,night,wet,10955807663163761862
01,night,wet,3673844597999105197
01,sunset,clear,4723614228087189233
01,noon,wetcloudy,3804063107618269556
01,sunset,cloudy,8556900350790299048
01,sunset,clear,16603429293826329909
01,noon,clear,15737017147657379683
01,noon,wet,18119643969392699766
01,sunset,wetcloudy,1172989987738435446
01,sunset,clear,202142433248572110
01,noon,clear,4610603447997980245
01,noon,wetcloudy,7101510022651404957
01,noon,wet,7470011436959381369
01,night,cloudy,11267372162784295635
01,night,wetcloudy,8716802561436865695
01,noon,clear,8255953355719133717
01,noon,wet,5754331971355890846
01,noon,cloudy,5279172905348199801
01,noon,wet,5701068636739344537
01,noon,cloudy,10669631975407341693
01,noon,clear,6986152914694173045
01,sunset,wetcloudy,8836324727686471880
01,night,clear,16861463795029254112
01,noon,wetcloudy,6504967680622419933
01,sunset,clear,15248173978732702319
01,noon,cloudy,6200889928768103728
01,night,clear,5562784017816525001
01,noon,wet,12593277633171009555
01,noon,wetcloudy,5503647245558315927
01,noon,wet,3329685640391312791
01,noon,wetcloudy,4003112047303369508
01,noon,cloudy,4749652075401252643
01,noon,wet,8139235189075786986
01,noon,wetcloudy,8563802671372758169
01,noon,wet,6807443720907276951
01,sunset,clear,9035482576303554924
01,noon,cloudy,7295678661647546503
01,noon,cloudy,10136782375646021358
01,noon,wet,4637931782894985058
01,sunset,wet,15235473385933693125
01,sunset,cloudy,13132950250727689882
01,night,wet,11090661489459070760
01,night,wetcloudy,13479803117170749576
01,noon,clear,5538235467216956513
01,noon,wet,6779971893468707532
01,night,wetcloudy,16411610575909398917
01,sunset,cloudy,17695523596179661094
01,noon,wet,16250660480353447277
01,noon,cloudy,7675454486227978413
01,noon,wet,18406000789129321954
01,sunset,clear,7306837279532212743
01,noon,wet,8016952159401334421
01,sunset,cloudy,16466254339578261124
01,noon,cloudy,5483149808109117311
01,night,wet,3385906564125515961
01,noon,clear,9555217791998926160
01,night,wetcloudy,14894421095992302407
01,noon,wetcloudy,2629961523510558795
01,noon,wet,4511986877679289866
01,noon,wet,1783917349010647336
01,night,clear,18098519572598937034
01,night,clear,191158237813338222
01,sunset,cloudy,707934886555566444
01,sunset,clear,2073440367592781702
01,night,wet,17924014941919889281
01,night,wetcloudy,9028238832455225586
01,sunset,clear,3248915232482796439
01,noon,cloudy,5523597138168212009
01,night,cloudy,8083466787007542143
01,night,wetcloudy,6805588181717834257
01,noon,cloudy,15711164901396784461
01,night,cloudy,13341946117826339075
01,sunset,wet,16382846637810104298
01,noon,clear,4260769553354504395
01,night,wet,17840306046362556133
01,sunset,cloudy,4819979076733967810
01,noon,wetcloudy,6297139801486472560
01,noon,clear,18115983576931462476
01,sunset,clear,18118767810202917752
01,sunset,clear,12072085154548783739
01,sunset,wet,7634070066134911885
01,noon,wet,4215703099121656144
01,noon,wetcloudy,15217730926035441336
01,noon,wet,864184349834659284
01,noon,clear,18103941317446758170
01,noon,cloudy,2199892475871361345
01,noon,wet,6091300060655000809
01,night,wet,916622403075124287
01,sunset,wetcloudy,3046196804242914721
01,noon,wetcloudy,11361212185395772560
01,noon,wetcloudy,11584873987726266057
01,night,cloudy,14782590726199083077
01,night,cloudy,4947668457386113263
01,noon,wetcloudy,14242659521563319741
01,sunset,wetcloudy,1297813528892412488
01,night,clear,16541575548964272442
01,night,clear,5302136769426265287
